高中化学实验目录（选修4）,高中化学实验目录（选修4）,高中化学实验目录（选修4）,高中化学实验目录（选修4）,高中化学实验目录（选修4）,高中化学实验目录（选修4）,高中化学实验目录（选修4）
主题,实验名称,实验类型,实验类型,所需主要仪器及材料,所需试剂,备注
主题,实验名称,演示,分组,所需主要仪器及材料,所需试剂,备注
1.化学反应与能量,探究原电池的构成条件（含盐桥）,,√,烧杯、盐桥、电流表、导线,锌片、铜片、硫酸锌溶液、硫酸铜溶液,★
1.化学反应与能量,探究电解原理,,√,U型管、电流表、直流电源、导线,石墨棒（2）、氯化铜溶液、碘化钾淀粉试纸、蒸馏水,★
1.化学反应与能量,探究金属的电化腐蚀,,√,具支试管、试管、止水夹、橡皮塞,铁粉、炭粉、氯化钠溶液、稀醋酸,★
2.化学反应速率和化学平衡,探究反应速率快慢,√,,分液漏斗、锥形瓶、针筒、铁架台等,锌粒、1mol/L 硫酸、4mol/L 硫酸,★
2.化学反应速率和化学平衡,浓度对反应速率的影响,,√,试管、胶头滴管,0.1mol/L硫代硫酸钠、0.2 mol/L硫代硫酸钠、0.1mol/L 硫酸、0.2 mol/L 硫酸,★
2.化学反应速率和化学平衡,温度对反应速率的影响,,√,试管、胶头滴管、烧杯,0.1mol/L硫代硫酸钠、0.1mol/L硫酸、冷水、热水,★
2.化学反应速率和化学平衡,催化剂对反应速率的影响,,,试管、胶头滴管、药匙、木条或蚊香、木柴、,0.01mol/L高锰酸钾酸性溶液、0.1mol/L草酸、,★
2.化学反应速率和化学平衡,催化剂对反应速率的影响,,√,试管、胶头滴管、药匙、木条或蚊香、木柴、,硫酸锰固体、5%双氧水、二氧化锰固体、0.1mol/L氯化铁、0.1mol/L氯化铜、,★
2.化学反应速率和化学平衡,催化剂对反应速率的影响,,,试管、胶头滴管、药匙、木条或蚊香、木柴、,淀粉溶液、2mol/L 硫酸、碘水、唾液,★
2.化学反应速率和化学平衡,浓度对化学平衡的影响,,√,试管、胶头滴管,0.1mol/L重铬酸钾、浓硫酸、6mol/L氢氧化钠、0.01mol/L氢氧化钠、0.005mol/L氯化铁、饱和 氯化铁溶液、0.01mol/L硫氰化钾溶液、1mol/L硫氰化钾溶液,★
2.化学反应速率和化学平衡,温度对化学平衡的影响,,√,烧杯,收集有二氧化氮的双球连通器、冰水、热水,★
2.化学反应速率和化学平衡,压强对化学平衡的影响,√,,大针筒,收集一定量二氧化氮,
3.溶液中的离子平衡,探究电解质在水溶液中的电离程度,,√,玻璃棒、表面皿、试管、烧杯、pH计或pH精密试纸,1mol/L盐酸、1mol/L醋酸、镁条、氯化钠固体、醋酸铵固体,
3.溶液中的离子平衡,测定酸碱滴定过程中溶液pH的变化,,√,酸式滴定管、碱式滴定管、滴定管夹、烧杯、锥形瓶、铁架台、pH计,0.1mol/L 左右的盐酸溶液、0.1mol/L 左右的氢氧化钠溶液、酚酞溶液、蒸馏水,★
3.溶液中的离子平衡,测定不同盐溶液的pH,,√,pH试纸、玻璃棒、表面皿,氯化钠溶液、碳酸钠溶液、碳酸氢钠溶液、氯化铵溶液、硫酸钠溶液、醋酸钠溶液、硫酸铵溶液,★
3.溶液中的离子平衡,探究影响盐类水解的外界因素,,√,三脚架、石棉网、酒精灯、火柴、烧杯、pH计,蒸馏水、氯化铁饱和溶液、浓盐酸、0.1 mol/L 氯化铁溶液、0.01 mol/L 氯化铁溶液,★
3.溶液中的离子平衡,探究沉淀溶解平衡的影响因素,,√,试管、胶头滴管,0.1 mol/L 氯化镁溶液、2 mol/L 氢氧化钠溶液、蒸馏水、1 mol/L盐酸、1 mol/L 氯化铵溶液、0.1 mol/L 氯化铁溶液、0.1 mol/L硝酸银溶液、0.1 mol/L氯化钠溶液、0.1 mol/L碘化钾溶液、0.1 mol/L硫化钠溶液,★
