高中化学实验目录（选修6）,高中化学实验目录（选修6）,高中化学实验目录（选修6）,高中化学实验目录（选修6）,高中化学实验目录（选修6）,高中化学实验目录（选修6）,高中化学实验目录（选修6）
主题,实验名称,实验类型,实验类型,所需主要仪器及材料,所需试剂,备注
主题,实验名称,演示,分组,所需主要仪器及材料,所需试剂,备注
,渗析,,√,烧杯、半透膜,淀粉胶体、氯化钠溶液、硝酸银溶液、碘水,★
,纸上层析分离甲基橙和酚酞,,√,培养皿、滴管、烧杯、量筒、毛细管、滤纸、小喷壶,甲基橙、酚酞、乙醇、浓氨水、饱和碳酸钠溶液,
,纸上层析法分离铜离子和铁离子,,√,大试管、滤纸、小刀、烧杯、量筒、玻璃棒、滴管、橡皮塞、回形针、表面皿、镊子、剪刀,饱和氯化铁溶液、饱和硫酸铜溶液、浓氨水、盐酸、丙酮,
,牙膏和火柴头中某些成分的检验,,√,试管、烧杯、玻璃棒、滴管、酒精灯。火柴、刀片、试管夹,硫酸铜溶液、氢氧化钠溶液、硝酸银溶液、0.0005mol/L 高锰酸钾酸性溶液、石灰水、蒸馏水、广泛pH试纸、牙膏、稀盐酸、稀硝酸、亚硝酸钠溶液,
,比色法测定抗贫血药物中铁的含量,,√,分析天平、酸式滴定管、100mL容量瓶、滴管、量筒、烧杯、比色管、三脚架、石棉网、玻璃棒、pH试纸、固定及夹持类仪器,铁离子标准液、硫氰化钾溶液、pH＝4的醋酸-醋酸钠溶液、硝酸、抗贫血药、蒸馏水,
,蓝瓶子实验,,√,锥形瓶、试管、滴管烧杯、酒精灯、量筒、托盘天平、温度计、计时器,亚甲基蓝溶液、氢氧化钠溶液、葡萄糖、蒸馏水,
,反应条件对化学平衡的影响,,√,试管、酒精灯、烧杯、三脚架、石棉网、药匙、试管夹、火柴,氯化钴溶液、浓盐酸、蒸馏水、95%乙醇溶液、六水合氯化钴晶体、硫酸溶液、氢氧化钠溶液、甲基橙、石蕊、乙酸乙酯,
,硫酸亚铁铵的制备,,√,锥形瓶、蒸发皿、酒精灯、玻璃棒、烧杯、铁架台、漏斗、托盘天平、量筒、滤纸,碳酸钠溶液、铁屑、硫酸、硫酸铵溶液、蒸馏水、无水乙醇,
,卤代烃的性质探究,,√,试管、酒精灯、固定及夹持类仪器,溴乙烷、氢氧化钠溶液、稀硝酸、硝酸银溶液、氢氧化钾乙醇溶液,★
,饮料的研究,,√,酸式滴定管、锥形瓶、滤纸、固定及夹持类仪器,某品牌水果（Vc）饮料、醋酸溶液、淀粉溶液、碘标注液,
,乙醇和苯酚性质的探究,,√,试管、烧杯、镊子、滤纸、温度计、导管、圆底烧瓶、双孔橡皮塞、洗气瓶、试管夹、滴管、药匙、酒精灯、火柴、铁架台、铁圈、石棉网、沸石,乙醇、金属钠、酚酞溶液、浓硫酸、稀硫酸、氢氧化钠溶液、氯化铁溶液、高锰酸钾酸性溶液、苯酚溶液、苯酚晶体、溴水、重铬酸钾溶液、乙醚、碳酸钠固体、盐酸、蒸馏水,
,电化学问题探究（电解、电镀）,,√,托盘天平、烧杯、具支U型管、试管、玻璃棒、镊子、药匙、导线、细砂纸、直流电源,碳棒、硫酸溶液、氢氧化钠溶液、稀盐酸、饱和氯化钠溶液、淀粉碘化钾溶液、氯化锌、氯化钾、硼酸、酚酞溶液、蒸馏水,
,用氧化还原滴定法测定污水中的化学耗氧量。,,√,酸式滴定管、碱式滴定管、烧杯、玻璃棒、锥形瓶、固定及夹持类仪器,高锰酸钾、草酸钠,
,酸碱滴定曲线的测绘,,√,pH计、酸式滴定管、碱式滴定管、烧杯、玻璃棒、滤纸、固定及夹持类仪器,0.1mol/L 盐酸、0.1mol/L 氢氧化钠溶液、蒸馏水,★
