Product ID,Commodity Name,Store Order Price,Shidacheng Acceptance Quantity,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
125778.0,Little Red Pepper,15.415,6.0,,,Premium Lettuce,Celtuce,2.06
346956.0,Perilla Leaf Vegetable,14.484,0.0,,,Premium Water Chestnut Bulb,Jiaotou,0.0
81974.0,Leek Yellow,12.444,1.0,,,Premium young ginger,tender ginger,0.0
125747.0,Chive Flower,12.444,1.0,,,Premium Purple Bud Vegetable,Red Bud Cabbage,4.0
125780.0,Snow pea,12.444,5.0,,,Premium Corn,corn,4.5
125750.0,garlic sprout,10.519,9.0,,,Premium Enoki Mushrooms,Enoki Mushrooms,0.0
122590.0,Water gourd,8.725,24.0,,,Premium Onion,Onion,4.49
125789.0,Broccoli,8.456,45.0,,,Premium Xiu Zhen Mushroom,Xiu Zhen Mushroom,0.0
125730.0,Water spinach,8.394,9.0,,,Premium King Oyster Mushroom,King oyster mushroom,0.0
125734.0,Cai Xin,8.364,5.0,,,Premium crab-flavored mushroom,Crab Flavor Mushroom,0.0
108767.0,Purple Shell Vegetable,8.364,0.0,,,Premium Small Red Pepper,Little Red Pepper,15.41
312616.0,Japanese Green Cucumber,8.364,5.0,,,Premium Small Melon,Cucumbers,3.21
122618.0,Big Red Pepper,8.12,0.0,,,Premium Bok Choy,Bok Choy,3.0
70469.0,Sichuan pepper,7.362,14.0,,,Premium Small Taro,Baby Taro,3.0
125738.0,Chinese broccoli rabe,7.344,2.0,,,Premium Fragrant Wheat Greens,Xiangmai Cai,2.4
125779.0,Green pointed chili pepper,7.336,63.0,,,Premium Enoki Mushroom,Button Mushroom,0.0
70486.0,Long Bean,7.3,10.0,,,Premium chili pepper,Sichuan pepper,7.36
130483.0,"四季豆 translates to ""green beans"" in English.",7.242,0.0,,,Premium Fresh Wood Ear Mushroom,Fresh Wood Ear Mushroom,0.0
125758.0,garlic clove,7.081,20.0,,,Premium Celery,Celery,0.2
126447.0,Red chili pepper,6.752,15.0,,,Premium Broccoli,Broccoli,8.46
130169.0,Horned Leaf,6.732,5.0,,,Premium Tomato,Tomato,4.48
258481.0,Jiaotou,6.647,0.0,,,Premium Potato,Potato,4.85
70508.0,Bitter Melon,6.303,58.0,,,Premium Garlic Clove,garlic clove,7.08
11012.0,Xili Hong,6.069,0.0,,,Premium Garlic Shoots,garlic sprout,10.52
648947.0,Premium Garlic Cloves,5.916,3.0,,,Premium Garlic Cloves,Premium Garlic Cloves,5.92
463342.0,Purple Heart Sweet Potato,5.768,0.0,,,Premium Green Garlic Shoots,green onion sprout,2.41
